EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4339.49,4521.03,4187.69,4627.69,4339.49,4112.31,4348.72,4252.31,4932.82,4447.69,4475.38,4738.46,4420.51,4598.46
4346.67,4527.18,4202.05,4633.85,4342.05,4122.05,4366.67,4267.69,4949.74,4465.64,4485.64,4749.74,4432.82,4611.28
4350.26,4540.00,4207.18,4643.08,4341.54,4122.05,4374.87,4271.28,4954.36,4462.56,4485.13,4747.18,4430.77,4612.31
4337.95,4530.77,4198.46,4638.46,4336.92,4118.97,4372.31,4258.97,4936.92,4441.03,4472.31,4734.87,4413.85,4598.46
4334.87,4519.49,4189.23,4629.23,4342.05,4118.97,4369.74,4245.64,4923.08,4436.41,4471.28,4731.79,4416.41,4596.41
4341.54,4525.13,4187.69,4630.77,4342.56,4114.36,4370.26,4233.85,4923.59,4446.67,4472.82,4730.26,4426.15,4604.10
4340.51,4529.23,4185.64,4635.38,4329.23,4108.72,4365.64,4221.54,4917.44,4444.62,4460.00,4719.49,4415.38,4597.95
4333.85,4526.67,4182.05,4633.33,4326.67,4106.67,4350.26,4210.77,4905.64,4431.28,4454.87,4711.28,4410.26,4590.77
4331.28,4522.05,4177.95,4628.72,4338.46,4106.67,4340.51,4204.10,4900.00,4414.36,4460.51,4711.28,4414.87,4592.31
4339.49,4526.67,4182.05,4633.85,4341.54,4108.72,4340.51,4207.69,4902.56,4401.03,4462.56,4718.46,4416.92,4595.90
4349.23,4535.90,4194.36,4642.56,4338.97,4104.10,4330.26,4225.64,4917.44,4417.44,4474.87,4735.90,4423.59,4602.56
4347.18,4530.77,4202.56,4637.44,4345.13,4095.90,4322.56,4245.13,4936.41,4456.41,4491.79,4749.74,4430.77,4606.67
4342.05,4520.00,4200.00,4631.79,4341.03,4097.95,4332.82,4254.36,4941.54,4467.18,4493.85,4748.72,4437.95,4611.28
4342.56,4525.64,4197.95,4640.00,4332.31,4104.62,4344.62,4262.05,4944.10,4460.51,4491.28,4740.00,4446.67,4614.87
4343.08,4535.38,4198.46,4644.10,4340.00,4106.67,4355.38,4269.74,4957.44,4465.13,4492.82,4736.41,4438.46,4609.23
4343.08,4534.87,4190.26,4640.51,4348.21,4109.74,4369.74,4269.74,4956.92,4453.33,4484.10,4735.90,4429.74,4603.08
4348.72,4535.90,4183.08,4640.00,4345.64,4112.82,4371.79,4264.10,4944.10,4440.51,4476.41,4727.18,4443.08,4605.64
4348.21,4536.41,4184.10,4637.44,4341.54,4110.26,4362.56,4254.36,4940.51,4442.05,4478.97,4717.95,4446.15,4606.15
4341.54,4528.72,4184.62,4636.41,4340.51,4105.64,4357.44,4243.08,4934.36,4427.18,4480.51,4717.95,4430.77,4601.03
4344.10,4522.56,4190.26,4641.54,4339.49,4104.10,4357.95,4230.77,4917.95,4414.87,4475.38,4720.00,4429.23,4604.62
4352.82,4527.69,4200.51,4645.13,4342.05,4100.51,4358.46,4218.46,4906.67,4420.51,4464.62,4722.05,4426.15,4607.18
4357.95,4536.92,4203.08,4647.18,4338.97,4094.36,4353.85,4216.92,4904.62,4413.33,4460.00,4728.72,4412.82,4601.03
4360.00,4537.95,4204.10,4651.28,4330.77,4094.36,4346.15,4226.67,4907.18,4403.08,4471.79,4736.41,4416.92,4603.59
4355.90,4528.21,4202.56,4646.67,4336.41,4100.00,4350.77,4236.92,4914.36,4415.38,4482.05,4734.36,4432.31,4612.31
4349.74,4520.00,4191.28,4633.33,4346.67,4103.59,4361.54,4245.13,4921.54,4429.23,4471.79,4724.62,4428.21,4608.72
4346.67,4520.00,4183.59,4630.26,4337.95,4102.56,4365.64,4254.87,4925.13,4428.72,4462.56,4716.41,4410.77,4589.23
4347.69,4522.56,4185.64,4637.95,4325.13,4105.13,4368.72,4262.56,4929.23,4417.44,4471.28,4716.92,4409.74,4580.00
4354.36,4523.59,4190.77,4642.05,4332.31,4108.21,4374.87,4258.97,4930.26,4412.82,4477.95,4726.15,4421.54,4596.41
4359.49,4523.08,4197.44,4639.49,4345.64,4106.67,4375.38,4246.67,4927.18,4422.05,4479.49,4733.85,4428.72,4608.72
4355.90,4523.59,4201.54,4637.95,4344.62,4106.15,4371.79,4234.87,4922.56,4425.64,4475.38,4731.79,4427.69,4604.62
4357.44,4529.74,4200.00,4644.62,4339.49,4107.69,4368.21,4225.13,4917.95,4428.21,4466.15,4725.13,4426.15,4604.10
4366.15,4538.46,4201.03,4656.41,4342.56,4106.15,4365.13,4210.26,4911.28,4425.13,4460.51,4721.54,4423.59,4609.74
4363.59,4537.95,4202.05,4658.97,4343.08,4099.49,4357.95,4194.87,4899.49,4406.67,4458.97,4718.97,4410.77,4603.08
4357.95,4533.33,4199.49,4653.85,4341.03,4093.33,4351.28,4190.77,4888.72,4397.44,4461.54,4719.49,4404.10,4599.49
4365.64,4540.00,4201.03,4657.95,4346.67,4091.28,4346.67,4196.92,4890.26,4396.92,4471.28,4727.69,4413.85,4612.82
4369.23,4542.05,4202.05,4662.05,4348.21,4092.31,4345.64,4201.54,4894.87,4397.95,4474.87,4730.77,4413.85,4617.44
4355.38,4527.69,4194.87,4652.31,4342.05,4091.79,4350.26,4204.10,4892.31,4420.51,4460.00,4720.00,4394.36,4601.54
4341.54,4516.92,4185.64,4638.97,4345.64,4091.28,4356.92,4210.77,4887.18,4432.82,4443.08,4704.62,4378.46,4586.15
4341.03,4517.95,4182.05,4635.90,4345.64,4092.82,4366.67,4215.38,4887.69,4409.74,4441.03,4702.05,4378.46,4583.59
4344.10,4521.03,4185.13,4644.10,4328.21,4096.41,4378.97,4217.95,4893.33,4400.51,4451.28,4713.85,4383.08,4588.72
4341.54,4520.51,4186.15,4646.67,4330.26,4098.97,4382.56,4221.03,4894.36,4407.18,4461.03,4719.49,4383.59,4588.21
4341.54,4519.49,4185.13,4639.49,4349.74,4098.46,4373.85,4219.49,4891.28,4394.87,4457.44,4715.90,4377.44,4582.05
4352.31,4517.44,4191.28,4638.97,4345.13,4095.38,4367.18,4218.97,4898.97,4400.51,4455.38,4718.97,4381.54,4586.15
4360.51,4524.10,4201.03,4648.72,4336.41,4091.28,4362.05,4221.03,4909.23,4435.38,4466.67,4729.74,4404.62,4606.15
4360.51,4538.46,4204.10,4655.90,4344.62,4089.23,4352.82,4219.49,4912.31,4448.21,4483.08,4735.38,4421.03,4621.54
4360.51,4541.03,4203.08,4661.03,4342.56,4087.18,4349.23,4218.46,4912.31,4435.90,4489.23,4736.41,4415.90,4619.49
4361.54,4537.95,4204.10,4661.03,4335.38,4084.10,4343.08,4215.38,4912.82,4423.08,4481.03,4735.38,4411.79,4609.74
4357.95,4538.46,4205.13,4658.46,4344.62,4080.51,4333.33,4211.28,4907.18,4403.08,4474.36,4733.85,4411.28,4603.59
4354.87,4542.05,4204.62,4660.00,4351.28,4082.56,4334.87,4211.28,4898.46,4397.44,4476.92,4730.77,4408.72,4604.62
4353.33,4540.51,4196.41,4656.92,4345.13,4087.69,4340.51,4207.18,4891.79,4418.46,4470.77,4721.54,4404.10,4602.56
4344.10,4530.26,4183.08,4646.67,4337.44,4088.21,4341.03,4197.95,4886.67,4416.41,4453.33,4708.72,4389.23,4589.23
4335.90,4522.56,4178.46,4644.62,4331.79,4088.72,4353.33,4204.10,4885.64,4391.79,4443.08,4703.59,4383.59,4581.54
4343.08,4522.56,4181.03,4642.56,4333.85,4095.38,4373.85,4216.92,4892.31,4396.41,4446.67,4706.67,4391.79,4582.56
4334.36,4522.56,4179.49,4635.90,4343.59,4095.90,4376.41,4217.95,4903.59,4418.46,4457.95,4710.26,4400.00,4585.64
4338.97,4523.08,4180.00,4638.97,4341.03,4091.79,4370.26,4220.51,4907.18,4416.41,4472.31,4719.49,4408.72,4596.41
4407.69,4526.15,4190.77,4644.10,4332.82,4103.08,4371.28,4231.28,4905.64,4406.15,4477.44,4730.26,4415.90,4604.62
4441.03,4528.21,4199.49,4640.51,4339.49,4108.72,4366.15,4231.79,4909.23,4415.38,4475.38,4735.38,4413.85,4602.56
4383.08,4532.82,4198.97,4643.08,4348.21,4094.36,4356.41,4221.54,4911.79,4435.90,4475.90,4737.44,4416.41,4603.08
4350.26,4541.03,4198.46,4657.44,4343.08,4085.13,4354.36,4215.90,4909.23,4433.85,4480.00,4740.00,4426.67,4612.31
4373.85,4543.59,4202.56,4666.67,4337.44,4089.74,4355.90,4218.97,4908.21,4404.62,4482.56,4739.49,4420.00,4612.31
4373.85,4541.03,4202.05,4663.08,4344.10,4090.77,4350.26,4217.95,4908.21,4404.62,4476.92,4735.90,4409.23,4603.08
4361.54,4538.97,4203.59,4655.90,4351.28,4087.18,4345.13,4216.41,4906.67,4426.15,4473.85,4737.95,4416.41,4605.64
4373.33,4541.03,4210.77,4659.49,4342.56,4082.56,4348.72,4225.64,4909.74,4420.00,4482.05,4745.13,4425.64,4615.90
4376.41,4544.62,4210.26,4666.15,4332.82,4081.54,4352.82,4228.21,4909.23,4412.31,4483.08,4742.56,4418.46,4612.82
4367.69,4535.38,4197.44,4655.90,4341.54,4086.67,4358.46,4213.85,4894.87,4417.44,4464.10,4726.15,4400.51,4595.90
4363.08,4527.18,4187.18,4648.72,4348.72,4094.36,4369.23,4210.77,4887.69,4414.36,4452.82,4718.46,4392.31,4592.31
4364.62,4532.82,4190.77,4654.36,4349.74,4103.59,4376.41,4217.44,4901.03,4421.03,4462.56,4729.23,4400.51,4598.97
4366.67,4537.44,4197.44,4653.85,4360.00,4106.67,4374.87,4217.44,4916.41,4438.97,4472.82,4736.92,4410.26,4601.54
4367.18,4536.41,4199.49,4655.90,4357.95,4100.00,4375.38,4223.59,4922.56,4431.79,4478.97,4733.85,4414.87,4607.69
4371.79,4538.97,4201.03,4665.13,4345.13,4095.90,4374.87,4230.26,4919.49,4420.51,4483.08,4736.92,4416.41,4615.90
4372.82,4540.00,4204.10,4658.97,4354.36,4096.92,4370.26,4222.56,4910.77,4432.31,4474.87,4746.67,4413.85,4615.90
4374.36,4537.95,4207.69,4656.41,4366.67,4093.85,4366.67,4215.38,4905.13,4434.36,4467.69,4749.74,4410.77,4615.90
4378.46,4539.49,4207.18,4668.21,4353.85,4089.74,4365.64,4216.92,4909.74,4420.00,4472.82,4743.59,4411.28,4617.44
4378.46,4540.00,4210.26,4668.21,4350.26,4089.23,4363.59,4213.33,4902.56,4409.74,4478.46,4736.92,4410.77,4609.74
4377.44,4538.97,4212.31,4665.64,4358.46,4088.72,4359.49,4210.26,4892.31,4417.95,4476.92,4737.95,4410.77,4605.13
4377.95,4540.51,4206.15,4670.77,4351.79,4084.10,4356.92,4213.85,4896.92,4438.46,4473.85,4741.54,4411.79,4608.72
4371.79,4534.36,4200.51,4666.15,4341.54,4081.54,4360.00,4214.36,4902.56,4441.03,4471.28,4736.92,4406.15,4603.08
4366.67,4528.72,4204.10,4659.49,4347.18,4086.67,4368.21,4211.79,4897.44,4417.95,4472.31,4730.77,4401.03,4596.92
4370.26,4533.33,4205.64,4662.05,4362.05,4093.85,4377.44,4213.33,4901.54,4416.41,4473.85,4733.85,4405.64,4601.03
4376.41,4539.49,4203.08,4663.59,4364.62,4096.92,4384.10,4216.92,4918.97,4458.46,4472.82,4735.38,4414.36,4605.13
4378.97,4541.03,4207.69,4663.59,4359.49,4098.46,4381.54,4216.92,4925.64,4471.79,4479.49,4733.85,4425.13,4610.77
4377.44,4540.51,4208.72,4664.10,4363.59,4096.92,4374.36,4220.51,4924.62,4439.49,4493.85,4742.56,4432.31,4617.44
4378.97,4540.51,4203.59,4662.56,4366.15,4092.82,4370.77,4236.41,4935.38,4450.77,4497.95,4751.79,4430.77,4616.92
4383.59,4539.49,4203.59,4665.13,4357.95,4089.74,4369.74,4247.69,4940.51,4484.10,4491.79,4751.28,4429.23,4614.87
4383.59,4540.51,4204.10,4665.64,4355.38,4088.72,4366.67,4242.05,4928.72,4461.54,4490.26,4749.23,4430.26,4617.44
4381.54,4536.41,4201.54,4663.08,4357.95,4087.18,4365.13,4234.36,4916.92,4436.41,4490.77,4750.26,4425.13,4617.44
4378.46,4526.67,4202.56,4661.03,4351.79,4081.03,4367.69,4227.69,4910.26,4451.28,4483.59,4753.33,4417.44,4609.74
4372.82,4523.08,4198.97,4652.82,4352.82,4074.87,4365.64,4213.85,4896.92,4446.67,4474.87,4749.74,4412.31,4604.62
4371.28,4523.59,4189.23,4647.18,4353.33,4074.87,4357.44,4199.49,4883.59,4409.74,4473.33,4740.00,4406.15,4603.08
4372.31,4524.62,4185.64,4655.38,4337.95,4073.85,4354.36,4189.74,4876.92,4396.92,4472.31,4733.33,4400.00,4594.87
4365.13,4522.56,4182.56,4659.49,4330.26,4073.85,4357.44,4182.05,4871.79,4409.74,4462.05,4728.72,4391.79,4583.59
4354.87,4513.33,4170.26,4647.18,4347.18,4083.08,4362.56,4181.54,4871.79,4408.21,4445.64,4715.90,4382.56,4578.97
4352.82,4506.67,4163.59,4637.95,4361.54,4091.28,4363.08,4188.21,4880.00,4404.62,4445.13,4705.64,4383.08,4576.92
4367.69,4520.51,4172.31,4647.18,4357.95,4090.26,4357.44,4194.87,4894.36,4428.21,4463.59,4714.87,4405.13,4584.62
4383.59,4539.49,4184.62,4662.05,4358.46,4087.18,4354.36,4206.67,4907.18,4460.00,4475.90,4731.28,4429.23,4609.74
4384.62,4541.03,4198.46,4665.13,4362.56,4086.15,4355.90,4221.54,4913.85,4462.05,4483.59,4736.41,4433.33,4623.59
